client_id;registration_date;region;age;total_orders
105;2024-03-11;ВАО;22;2
106;2024-08-28;ЮАО;25;5
107;2025-08-06;САО;55;3
108;2024-02-10;ВАО;23;3
109;2025-03-05;ВАО;54;2
110;2025-06-19;ЗАО;34;1
111;2024-07-28;ЗАО;33;2
112;2024-09-28;ЮАО;26;4
113;2024-11-03;ЮАО;38;2
114;2024-03-15;ЦАО;47;1
115;2025-07-30;ЦАО;22;1
116;2025-07-04;САО;50;0
117;2024-09-28;САО;40;1
118;2024-03-11;САО;41;6
119;2024-10-18;САО;46;1
120;2025-07-10;ЗАО;57;0
121;2025-06-25;ЦАО;60;2
122;2025-07-21;ЗАО;60;4
123;2024-04-16;САО;34;2
124;2024-04-28;ЦАО;65;3
125;2025-07-20;САО;35;6
126;2024-10-15;ВАО;31;4
127;2024-12-17;САО;61;3
128;2024-09-27;ВАО;49;4
129;2024-09-14;ЦАО;23;3
130;2025-03-09;ЗАО;20;2
131;2024-01-04;ЗАО;26;1
132;2024-09-25;САО;65;1
133;2025-03-28;ВАО;63;2
134;2025-03-13;ВАО;18;5
135;2024-04-24;ЦАО;62;2
136;2024-06-01;ВАО;20;1
137;2025-01-13;ВАО;53;2
138;2024-05-31;ЮАО;26;0
139;2024-02-12;ЗАО;41;7
140;2024-02-10;ЗАО;31;2
141;2024-09-12;ЦАО;40;1
142;2025-07-27;ЮАО;57;4
143;2024-06-07;САО;28;5
144;2024-06-30;ЮАО;19;4
145;2024-07-02;ЗАО;44;2
146;2024-09-11;ЗАО;28;4
147;2024-04-20;ЮАО;20;3
148;2025-04-26;САО;30;2
149;2025-04-16;ЗАО;37;6
150;2024-08-21;САО;19;2
151;2024-07-16;ЮАО;39;2
152;2024-10-12;ЦАО;35;2
153;2024-12-25;ВАО;43;3
154;2025-07-03;ЗАО;19;4
155;2024-04-28;ЗАО;29;2
156;2025-08-17;ЗАО;20;2
157;2024-04-21;ВАО;45;3
158;2024-12-19;ЗАО;45;5
159;2025-06-07;ЦАО;42;2
160;2025-08-13;САО;34;4
161;2024-02-15;ЮАО;18;1
162;2025-06-16;ВАО;61;2
163;2024-07-20;ЗАО;45;2
164;2024-03-12;ЗАО;57;4
165;2024-11-17;ЦАО;64;2
166;2024-11-03;ВАО;37;4
167;2025-02-22;ЗАО;43;1
168;2024-10-29;ВАО;26;1
169;2024-07-15;ЮАО;60;1
170;2025-01-23;САО;57;5
171;2025-08-05;ЗАО;43;2
172;2025-07-15;ЦАО;37;3
173;2024-10-20;САО;45;1
174;2025-08-16;ВАО;59;4
175;2024-11-25;ЮАО;46;2
176;2025-03-28;САО;50;6
177;2025-04-29;САО;60;5
178;2024-03-27;ЗАО;50;2
179;2024-12-09;ЦАО;33;3
180;2024-11-13;САО;30;3
181;2024-05-30;ЦАО;20;2
182;2024-09-07;ЮАО;57;1
183;2024-03-15;ЮАО;44;3
184;2025-08-12;САО;63;3
185;2025-01-28;ЮАО;43;3
186;2024-09-06;САО;59;5
187;2024-01-06;ЦАО;45;3
188;2024-08-12;САО;62;3
189;2025-06-14;ЮАО;21;4
190;2025-07-24;САО;25;3
191;2025-04-12;САО;47;2
192;2025-06-27;ВАО;56;2
193;2024-11-20;ЮАО;57;2
194;2025-05-31;ЮАО;53;3
195;2025-04-01;САО;65;3
196;2025-05-01;ЮАО;34;4
197;2024-09-10;ЗАО;51;6
198;2025-05-11;САО;35;4
199;2025-03-26;ЦАО;63;5
200;2024-10-19;САО;35;1
